node,new_score,original_sco,diff
anon_S1842E,611.229583529,748.0,-136.770416471
anon_S5501E,402.788468593,400.0,2.788468593
anon_S1102E,508.068751577,504.0,4.068751577
anon_S5494E,597.567344566,616.0,-18.432655434
anon_S2124E,651.587601296,598.0,53.587601296
anon_S1673E,652.430659806,538.0,114.430659806
anon_S4949E,584.07732351,586.0,-1.92267649
anon_S4084E,614.337008159,641.0,-26.662991841
anon_S1746E,544.839667091,486.0,58.839667091
anon_S1351E,568.630532806,576.0,-7.369467194
anon_S5732E,586.998995242,615.0,-28.001004758
anon_S2436E,668.327518369,553.0,115.327518369
anon_S4872E,551.691628501,741.0,-189.308371499
anon_S4100E,610.032276397,567.0,43.032276397
anon_S4923E,550.653561082,521.0,29.653561082
anon_S1591E,618.384688614,596.0,22.384688614
anon_S133E,686.0,686.0,0.0
anon_S5067E,593.386433259,615.0,-21.613566741
anon_S3841E,623.861685676,633.0,-9.138314324
anon_S50E,560.585384233,709.0,-148.414615767
anon_S5107E,557.860378111,532.0,25.860378111
anon_S5400E,528.178370983,625.0,-96.821629017
anon_S2498E,650.89183558,564.0,86.89183558
anon_S759E,591.573292943,625.0,-33.426707057
anon_S251E,567.532768534,520.0,47.532768534
anon_S1192E,586.940406955,590.0,-3.059593045
anon_S88E,587.158773212,669.0,-81.841226788
anon_S2397E,544.706047965,527.0,17.706047965
anon_S2627E,549.248454816,408.0,141.248454816
anon_S2718E,564.922462853,360.0,204.922462853
anon_S3752E,636.430740996,531.0,105.430740996
anon_S2905E,588.41715708,540.0,48.41715708
anon_S5252E,762.954338541,773.0,-10.045661459
anon_S5334E,541.807674449,377.0,164.807674449
anon_S3393E,625.401951008,546.0,79.401951008
anon_S2172E,585.619482628,623.0,-37.380517372
anon_S2809E,652.430659806,565.0,87.430659806
anon_S374E,574.05327738,492.0,82.05327738
anon_S5864E,598.905314721,583.0,15.905314721
anon_S5369E,579.869327339,463.0,116.869327339
anon_S2999E,639.033038602,661.0,-21.966961398
anon_S535E,606.919635017,616.0,-9.080364983
anon_S4526E,584.71560997,558.0,26.71560997
anon_S4041E,625.892506715,431.0,194.892506715
anon_S5999E,560.50795455,515.0,45.50795455
anon_S400E,615.240288478,613.0,2.240288478
anon_S107E,591.975048976,690.0,-98.024951024
anon_S8E,560.978419561,651.0,-90.021580439
anon_S597E,622.455741354,621.0,1.455741354
anon_S3179E,656.035056809,642.0,14.035056809
anon_S2054E,579.687317657,375.0,204.687317657
anon_S2511E,665.329828951,499.0,166.329828951
anon_S865E,474.620013014,400.0,74.620013014
anon_S3077E,659.855269406,562.0,97.855269406
anon_S3221E,583.705649021,601.0,-17.294350979
anon_S2301E,576.460866415,506.0,70.460866415
anon_S2877E,554.380512014,504.0,50.380512014
anon_S4395E,631.327585636,680.0,-48.672414364
anon_S3142E,578.179595121,333.0,245.179595121
anon_S4460E,639.224384068,667.0,-27.775615932
anon_S3706E,603.167212816,579.0,24.167212816
